epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,5869.55,1.43274,0.81754,1.16867,0.84435,0.57926,0.65689,0.3661,1.30281,0.60662,1.00322,0.00703,0.00703,0.00703
92,7054.67,1.43187,0.81561,1.16944,0.84542,0.57824,0.65673,0.36601,1.30269,0.60637,1.00303,0.006997,0.006997,0.006997
93,8248.85,1.43996,0.82098,1.16678,0.84445,0.57946,0.65701,0.36617,1.30271,0.6061,1.00295,0.006964,0.006964,0.006964
94,9455.69,1.44132,0.8211,1.16826,0.8467,0.57801,0.65716,0.36599,1.30256,0.60603,1.00288,0.006931,0.006931,0.006931
95,10664.4,1.44034,0.82124,1.16645,0.8486,0.57631,0.65714,0.36598,1.30264,0.60597,1.0029,0.006898,0.006898,0.006898
96,11871.7,1.44381,0.82117,1.17069,0.84859,0.57648,0.65714,0.36601,1.30253,0.60614,1.00283,0.006865,0.006865,0.006865
97,13051.1,1.43534,0.82082,1.1699,0.8484,0.57651,0.65681,0.36643,1.30236,0.60622,1.00266,0.006832,0.006832,0.006832
98,14213.6,1.442,0.82656,1.17045,0.84839,0.57613,0.65657,0.3663,1.30206,0.60628,1.00247,0.006799,0.006799,0.006799
99,1168.84,1.37125,0.76407,1.14066,0.84678,0.57707,0.657,0.36642,1.30195,0.6053,1.00231,0.006766,0.006766,0.006766
100,2360.74,1.40254,0.78978,1.15309,0.84655,0.57716,0.65698,0.36636,1.30199,0.60493,1.00217,0.006733,0.006733,0.006733
101,3520.77,1.41217,0.79945,1.15928,0.84504,0.57843,0.65743,0.36621,1.3019,0.605,1.00232,0.0067,0.0067,0.0067
102,4685.3,1.41818,0.80324,1.16193,0.84467,0.57841,0.65738,0.36646,1.30196,0.60473,1.00243,0.006667,0.006667,0.006667
103,5842.55,1.4252,0.80945,1.16336,0.84702,0.57786,0.6574,0.36651,1.30195,0.60455,1.00234,0.006634,0.006634,0.006634
104,7009.28,1.4228,0.80825,1.16297,0.84633,0.57798,0.65747,0.36675,1.30185,0.60421,1.00208,0.006601,0.006601,0.006601
105,8154.79,1.43262,0.8147,1.16387,0.84717,0.57783,0.6575,0.36685,1.30139,0.60418,1.00183,0.006568,0.006568,0.006568
106,9310.26,1.43468,0.81502,1.16388,0.84935,0.57718,0.65766,0.36711,1.30103,0.60381,1.00153,0.006535,0.006535,0.006535
107,10455,1.4344,0.817,1.16556,0.84738,0.5786,0.65785,0.36695,1.30096,0.60394,1.0014,0.006502,0.006502,0.006502
108,11604.2,1.43856,0.81477,1.1699,0.84845,0.57899,0.65814,0.36682,1.301,0.60395,1.0014,0.006469,0.006469,0.006469
109,12779.9,1.43058,0.81465,1.16838,0.84798,0.5785,0.65795,0.36683,1.30078,0.60387,1.00135,0.006436,0.006436,0.006436
110,13942,1.43723,0.8194,1.1684,0.84795,0.57886,0.65829,0.36701,1.30063,0.60367,1.00134,0.006403,0.006403,0.006403
111,15087.2,1.4323,0.81244,1.16851,0.84931,0.57889,0.65865,0.3671,1.30036,0.60347,1.00113,0.00637,0.00637,0.00637
112,1202.66,1.36412,0.7568,1.13589,0.84866,0.57919,0.65855,0.36731,1.30041,0.60281,1.00103,0.006337,0.006337,0.006337
113,2433.74,1.39364,0.78132,1.14865,0.84749,0.58067,0.6591,0.36759,1.30058,0.60259,1.00105,0.006304,0.006304,0.006304
114,3720.89,1.40304,0.78728,1.1522,0.84857,0.57936,0.65869,0.36728,1.30053,0.60264,1.00093,0.006271,0.006271,0.006271
115,4973.58,1.40933,0.79218,1.15695,0.84796,0.57996,0.65852,0.36729,1.30053,0.60247,1.00109,0.006238,0.006238,0.006238
116,1138.63,1.34917,0.74648,1.13057,0.84661,0.58077,0.65876,0.36733,1.3006,0.60184,1.0011,0.006205,0.006205,0.006205
117,2289.38,1.38797,0.77613,1.14761,0.84818,0.57986,0.65836,0.36739,1.30049,0.60133,1.00101,0.006172,0.006172,0.006172
118,3437.75,1.39936,0.78683,1.15291,0.84579,0.58052,0.65834,0.36766,1.30045,0.60134,1.00087,0.006139,0.006139,0.006139
119,4593.99,1.4089,0.7898,1.15537,0.84637,0.58052,0.65853,0.36757,1.3006,0.60135,1.00087,0.006106,0.006106,0.006106
120,5748.53,1.41695,0.80128,1.16141,0.8466,0.58117,0.65891,0.36765,1.30061,0.60114,1.00097,0.006073,0.006073,0.006073
121,6892.35,1.41493,0.79922,1.16279,0.84735,0.58016,0.6588,0.36778,1.30044,0.60116,1.00085,0.00604,0.00604,0.00604
122,8013.24,1.42506,0.80478,1.16136,0.84722,0.58077,0.65914,0.36781,1.30005,0.60088,1.00067,0.006007,0.006007,0.006007
123,9157.78,1.42632,0.8066,1.16221,0.84545,0.58148,0.65938,0.36787,1.2998,0.60038,1.00054,0.005974,0.005974,0.005974
124,10296.3,1.42552,0.80849,1.16148,0.84713,0.58111,0.65969,0.36766,1.29987,0.60049,1.00048,0.005941,0.005941,0.005941
125,11430,1.43152,0.80442,1.16387,0.84722,0.58132,0.65977,0.36776,1.29991,0.60054,1.00037,0.005908,0.005908,0.005908
126,12551,1.42384,0.80577,1.16233,0.84756,0.58147,0.65999,0.3676,1.30021,0.60067,1.00045,0.005875,0.005875,0.005875
127,13692.1,1.43025,0.81355,1.16011,0.84856,0.58055,0.65948,0.36774,1.3,0.60061,1.00033,0.005842,0.005842,0.005842
128,14810.7,1.4261,0.80535,1.16575,0.84826,0.58119,0.65967,0.36779,1.29993,0.60045,1.00044,0.005809,0.005809,0.005809
129,1240.18,1.34492,0.74212,1.12675,0.84888,0.58134,0.66005,0.36792,1.30011,0.60002,1.00045,0.005776,0.005776,0.005776
130,2495.2,1.37886,0.768,1.14109,0.84725,0.58179,0.66018,0.36801,1.29986,0.5998,1.00026,0.005743,0.005743,0.005743
131,3764.5,1.39065,0.77777,1.1447,0.84816,0.58112,0.66003,0.3679,1.29972,0.59975,1.00002,0.00571,0.00571,0.00571
132,5036.69,1.40148,0.78208,1.15239,0.84759,0.58147,0.65986,0.3681,1.29946,0.59968,0.99995,0.005677,0.005677,0.005677
133,6299,1.4071,0.79138,1.15372,0.84714,0.58087,0.65988,0.36819,1.29895,0.59977,0.99977,0.005644,0.005644,0.005644
134,7557.19,1.40714,0.79113,1.15452,0.84795,0.58047,0.65956,0.36866,1.29898,0.59941,0.99977,0.005611,0.005611,0.005611
135,8822.97,1.41661,0.7971,1.15542,0.84675,0.58114,0.65963,0.36877,1.29857,0.59918,0.99964,0.005578,0.005578,0.005578
136,10092.1,1.41932,0.79737,1.15625,0.84648,0.58102,0.65935,0.36866,1.29818,0.59884,0.99946,0.005545,0.005545,0.005545
137,11351.6,1.41946,0.80052,1.15221,0.84603,0.58142,0.65962,0.36866,1.29805,0.59885,0.99927,0.005512,0.005512,0.005512
138,12619.5,1.42396,0.79685,1.15828,0.84834,0.58054,0.65996,0.36834,1.29787,0.59888,0.9991,0.005479,0.005479,0.005479
139,13875.1,1.41716,0.80045,1.15904,0.84709,0.58169,0.66013,0.36828,1.29745,0.59858,0.99885,0.005446,0.005446,0.005446
140,15126.8,1.42359,0.80538,1.15614,0.84774,0.58182,0.66011,0.36877,1.29735,0.59872,0.99871,0.005413,0.005413,0.005413
141,1107.16,1.33392,0.73321,1.11942,0.84728,0.58197,0.66019,0.3687,1.29742,0.5982,0.99853,0.00538,0.00538,0.00538
142,2214.71,1.37082,0.76055,1.13657,0.8445,0.58245,0.65996,0.36879,1.2976,0.59818,0.99866,0.005347,0.005347,0.005347
143,3330.92,1.38323,0.77032,1.14455,0.84655,0.58147,0.66007,0.36878,1.29753,0.5979,0.99862,0.005314,0.005314,0.005314
144,4436.73,1.39138,0.77478,1.14685,0.8465,0.58144,0.66041,0.36911,1.29741,0.59751,0.99871,0.005281,0.005281,0.005281
145,5545,1.40007,0.78349,1.14879,0.84621,0.58187,0.66042,0.36947,1.29717,0.59728,0.99861,0.005248,0.005248,0.005248
146,6651.64,1.39942,0.78515,1.15272,0.84581,0.58144,0.66018,0.36943,1.29752,0.59713,0.99886,0.005215,0.005215,0.005215
147,2288.26,1.36147,0.75407,1.13447,0.8464,0.58139,0.66041,0.36951,1.29772,0.59663,0.99851,0.005182,0.005182,0.005182
148,3409.44,1.37759,0.76554,1.14101,0.84908,0.58097,0.66061,0.3697,1.29766,0.5965,0.99854,0.005149,0.005149,0.005149
149,4560.56,1.38839,0.77255,1.14611,0.84881,0.58114,0.66076,0.36975,1.29738,0.59654,0.99851,0.005116,0.005116,0.005116
150,5690.12,1.39714,0.78163,1.14738,0.84997,0.58005,0.6608,0.36991,1.29736,0.59667,0.99844,0.005083,0.005083,0.005083
151,6804.39,1.39797,0.78106,1.15114,0.84921,0.58044,0.66062,0.36965,1.29747,0.59623,0.99839,0.00505,0.00505,0.00505
152,7911.17,1.40779,0.78743,1.15032,0.84988,0.57951,0.66063,0.36963,1.29711,0.59593,0.99808,0.005017,0.005017,0.005017
153,9025.35,1.4116,0.78799,1.15125,0.84755,0.58099,0.66073,0.36986,1.29693,0.59577,0.99802,0.004984,0.004984,0.004984
154,10138.4,1.41073,0.79162,1.15088,0.84672,0.58194,0.6613,0.3699,1.29666,0.59563,0.99772,0.004951,0.004951,0.004951
155,11241,1.41573,0.79152,1.15518,0.84692,0.58227,0.66137,0.3701,1.29631,0.59544,0.99755,0.004918,0.004918,0.004918
156,12347.3,1.40957,0.79088,1.15776,0.84851,0.58199,0.66154,0.37049,1.2963,0.59534,0.99752,0.004885,0.004885,0.004885
157,13454.1,1.41663,0.79778,1.1558,0.84843,0.58222,0.66153,0.37056,1.29563,0.59503,0.99727,0.004852,0.004852,0.004852
158,14568.9,1.41289,0.79096,1.16151,0.84716,0.58307,0.66201,0.37051,1.29489,0.595,0.99708,0.004819,0.004819,0.004819
159,1111.17,1.31337,0.71788,1.11275,0.84687,0.583,0.66201,0.37075,1.29523,0.59451,0.9971,0.004786,0.004786,0.004786
160,2250.79,1.35218,0.7452,1.13,0.84671,0.5827,0.66195,0.37064,1.29577,0.59465,0.99725,0.004753,0.004753,0.004753
161,3381.61,1.36767,0.75752,1.13659,0.84719,0.58222,0.66156,0.37072,1.29603,0.59445,0.99737,0.00472,0.00472,0.00472
162,4510.99,1.37858,0.76212,1.14286,0.84944,0.58118,0.6616,0.37064,1.29556,0.59416,0.99745,0.004687,0.004687,0.004687
163,1109.9,1.29845,0.70776,1.10584,0.84743,0.58227,0.66151,0.37059,1.29614,0.59407,0.99755,0.004654,0.004654,0.004654
164,2246.93,1.34467,0.74044,1.12297,0.84761,0.58201,0.66144,0.37041,1.2967,0.59407,0.99751,0.004621,0.004621,0.004621
165,3375.38,1.36372,0.75245,1.13126,0.84701,0.58207,0.66155,0.37054,1.29662,0.59399,0.99751,0.004588,0.004588,0.004588
166,4503.02,1.37618,0.76101,1.13852,0.84809,0.58208,0.66165,0.37018,1.29653,0.59429,0.9975,0.004555,0.004555,0.004555
167,5614.07,1.38728,0.77292,1.14236,0.84875,0.58119,0.6615,0.37024,1.29626,0.59435,0.99731,0.004522,0.004522,0.004522
168,6733.58,1.3865,0.77201,1.14493,0.84771,0.58114,0.66099,0.37054,1.29599,0.59429,0.99727,0.004489,0.004489,0.004489
169,7841.92,1.3964,0.77873,1.14322,0.84919,0.58133,0.66139,0.37057,1.29577,0.59412,0.99708,0.004456,0.004456,0.004456
170,8949.31,1.40106,0.77961,1.14326,0.84921,0.58168,0.66164,0.37071,1.29549,0.59414,0.99688,0.004423,0.004423,0.004423
171,10058.5,1.40133,0.78223,1.14534,0.84861,0.5823,0.66167,0.3704,1.2954,0.59418,0.99668,0.00439,0.00439,0.00439
172,11182.8,1.40671,0.78067,1.15025,0.84972,0.58152,0.66187,0.37045,1.29519,0.59412,0.99657,0.004357,0.004357,0.004357
173,12340.2,1.40123,0.78227,1.15287,0.85044,0.58194,0.66216,0.37086,1.29435,0.59388,0.9963,0.004324,0.004324,0.004324
174,13456.6,1.40859,0.79169,1.15248,0.85066,0.58139,0.66214,0.37108,1.29379,0.59384,0.99614,0.004291,0.004291,0.004291
175,14573,1.40435,0.78296,1.15465,0.85078,0.58182,0.66272,0.37102,1.29358,0.59357,0.9961,0.004258,0.004258,0.004258
176,1108.04,1.29469,0.7047,1.10239,0.85003,0.58216,0.66286,0.37131,1.29409,0.59328,0.99624,0.004225,0.004225,0.004225
177,2229.28,1.33469,0.7314,1.11933,0.84762,0.58302,0.66256,0.37105,1.29471,0.59332,0.99649,0.004192,0.004192,0.004192
178,3337.14,1.35295,0.7427,1.12763,0.84899,0.5826,0.66238,0.37097,1.29475,0.59326,0.99636,0.004159,0.004159,0.004159
179,4498.08,1.36507,0.75045,1.13323,0.84909,0.58265,0.66233,0.37118,1.29488,0.59312,0.99641,0.004126,0.004126,0.004126
180,5642.37,1.37673,0.76085,1.13612,0.84841,0.58369,0.66277,0.37112,1.2948,0.59319,0.99629,0.004093,0.004093,0.004093
181,6792.8,1.37652,0.76114,1.13773,0.84935,0.58289,0.66249,0.37116,1.29439,0.59278,0.99594,0.00406,0.00406,0.00406
182,7934.54,1.38669,0.76879,1.13776,0.84825,0.58337,0.66227,0.37118,1.29394,0.5925,0.9956,0.004027,0.004027,0.004027
183,9061.15,1.39201,0.77028,1.14284,0.84743,0.58345,0.66249,0.37147,1.29394,0.59239,0.99549,0.003994,0.003994,0.003994
184,10180.6,1.39337,0.77339,1.14018,0.84817,0.58325,0.66244,0.37147,1.2935,0.59219,0.9954,0.003961,0.003961,0.003961
185,11295.5,1.39708,0.77205,1.14505,0.8484,0.5829,0.66256,0.37149,1.29332,0.59224,0.99532,0.003928,0.003928,0.003928
186,12412.7,1.39215,0.77523,1.1466,0.85076,0.58247,0.6628,0.37151,1.29326,0.59218,0.99541,0.003895,0.003895,0.003895
187,13546.7,1.40061,0.78146,1.14523,0.85064,0.58237,0.66256,0.37179,1.29312,0.59193,0.99528,0.003862,0.003862,0.003862
188,1145.23,1.28345,0.69629,1.09804,0.84852,0.58347,0.66264,0.37186,1.28773,0.58978,0.99368,0.003829,0.003829,0.003829
